source,task,routing_mode,ast_index,command,target,raw_command,success,duration_seconds,output_chars,search_result_role,information_gained,reason_for_call,next_action,classification,classification_label,hindsight_assessment
controlled-phase7d,level3-007,semantic,1,search,--name process,"ast-tool search --name process ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -30",True,9.877,143,declaration-only,1 symbol result(s); Method service::CheckoutService::process D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\checkout_service.h:14:5,necessary semantic query,ast-tool:search --name submit,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level3-007,semantic,2,search,--name submit,"ast-tool search --name submit ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -30",True,13.384,136,declaration-only,1 symbol result(s); Method service::OrderService::submit D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\order_service.h:18:5,necessary semantic query,ast-tool:search --name handleCheckout,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level3-007,semantic,3,search,--name handleCheckout,"ast-tool search --name handleCheckout ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -30",True,17.229,31,no-role-evidence,1 symbol result(s); (Bash completed with no output),identity / resolution overhead,ast-tool:search --name checkout,B,identity / resolution overhead,unproductive identity probe; it returned no symbol information
controlled-phase7d,level3-007,semantic,4,search,--name checkout,"ast-tool search --name checkout ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -30",True,4.099,31,no-role-evidence,1 symbol result(s); (Bash completed with no output),identity / resolution overhead,ast-tool:search --kind function,B,identity / resolution overhead,unproductive identity probe; it returned no symbol information
controlled-phase7d,level3-007,semantic,5,search,--kind function,"ast-tool search --kind function ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1",True,4.157,4631,definition-only,35 symbol result(s); Function gateway::PaymentGateway::charge D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\gateway\payment_gateway.cpp:7:1,necessary semantic query,ast-tool:search --kind method,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level3-007,semantic,6,search,--kind method,"ast-tool search --kind method ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1",True,7.591,1878,declaration-only,13 symbol result(s); Method gateway::PaymentGateway::charge D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\gateway\payment_gateway.h:9:5,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level3-008,semantic,1,search,--kind function,ast-tool search --kind function D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline 2>&1,True,13.867,3411,definition-only,27 symbol result(s); Function audit::AuditLogger::log D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline\src\audit\audit_logger.cpp:7:1,identity / resolution overhead,ast-tool:callers store::DataStore::save,B,identity / resolution overhead,reasonable identity step required before a relationship query
controlled-phase7d,level3-008,semantic,2,callers,store::DataStore::save,ast-tool callers store::DataStore::save D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src 2>&1,True,4.164,118,,1 relationship result line(s); job::SyncJob::execute D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src\job\sync_job.cpp:24:12,necessary semantic query,ast-tool:callers store::DataStore::purge,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level3-008,semantic,3,callers,store::DataStore::purge,ast-tool callers store::DataStore::purge D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src 2>&1,True,7.476,124,,1 relationship result line(s); job::CleanupJob::execute D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src\job\cleanup_job.cpp:13:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level4-003,semantic,1,search,--name charge,"ast-tool search --name charge ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-commerce""",True,10.096,287,declaration-only,2 symbol result(s); Method gateway::PaymentGateway::charge D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-commerce\src\gateway\payment_gateway.h:9:5,necessary semantic query,ast-tool:search --name authorize,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level4-003,semantic,2,search,--name authorize,"ast-tool search --name authorize ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-commerce""",True,14.029,146,declaration-only,1 symbol result(s); Method service::PaymentService::authorize D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-commerce\src\service\payment_service.h:11:5,identity / resolution overhead,ast-tool:callers gateway::PaymentGateway::charge,B,identity / resolution overhead,reasonable identity step required before a relationship query
controlled-phase7d,level4-003,semantic,3,callers,gateway::PaymentGateway::charge,"ast-tool callers gateway::PaymentGateway::charge ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-commerce""",True,4.185,115,,empty relationship result,relationship retry overhead,ast-tool:callers service::PaymentService::authorize,C,relationship retry overhead,"reasonable query, but empty output forced another strategy"
controlled-phase7d,level4-003,semantic,4,callers,service::PaymentService::authorize,"ast-tool callers service::PaymentService::authorize ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-commerce""",True,8.254,283,,2 relationship result line(s); service::AdminOrderService::submit D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-commerce\src\service\admin_order_service.cpp:18:19,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level4-006,semantic,1,search,--name validate,"ast-tool search --name validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-api""",True,10.092,403,declaration-only,3 symbol result(s); Method jobs::CronJob::validate D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-api\src\jobs\cron_job.h:12:5,identity / resolution overhead,"ast-tool:callers ""service::ValidationService::validate""",B,identity / resolution overhead,reasonable identity step required before a relationship query
controlled-phase7d,level4-006,semantic,2,callers,"""service::ValidationService::validate""","ast-tool callers ""service::ValidationService::validate"" ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-api""",True,4.194,125,,empty relationship result,relationship retry overhead,"ast-tool:references ""service::ValidationService::validate""",C,relationship retry overhead,"reasonable query, but empty output forced another strategy"
controlled-phase7d,level4-006,semantic,3,references,"""service::ValidationService::validate""","ast-tool references ""service::ValidationService::validate"" ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level4-api""",True,4.158,67,,empty relationship result,relationship retry overhead,Read,C,relationship retry overhead,"reasonable query, but empty output forced another strategy"
controlled-phase7d,smoke-001,semantic,1,find,src/greeter.h greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find src/greeter.h greet",False,10.017,78,,error: could not parse file,recovery / error-handling overhead,ast-tool:find --text greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
controlled-phase7d,smoke-001,semantic,2,find,--text greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --text greet src/greeter.h",True,4.237,243,,"4 AST node line(s); BE817B8 translation_unit @1:1 ""#pragma once #include <string>  void gre...""",context-fetch overhead,ast-tool:references greet,E,context-fetch overhead,reasonable per-file implementation lookup before source retrieval
controlled-phase7d,smoke-001,semantic,3,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet src/",False,4.091,168,,error: ambiguous symbol: greet,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
controlled-phase7d,smoke-001,semantic,4,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet src/main.cpp 2>/dev/null || grep -n ""greet("" src/main.cpp",True,4.178,41,,"2 relationship result line(s); 4:    greet(""Alice"");",necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
historical-noskill,smoke-001,direct-ast,1,find,src/greeter.h greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find src/greeter.h greet",False,10.514,11,,command failed,recovery / error-handling overhead,ast-tool:find src/greeter.h greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
historical-noskill,smoke-001,direct-ast,2,find,src/greeter.h greet,"ast-tool find src/greeter.h greet 2>&1; echo ""exit: $?""",True,4.197,7,,1 AST node line(s); exit: 1,context-fetch overhead,ast-tool:2,E,context-fetch overhead,reasonable per-file implementation lookup before source retrieval
historical-noskill,smoke-001,direct-ast,3,2,,which ast-tool 2>&1; ast-tool --help 2>&1 | head -20,True,6.863,632,,/d/Programs/ast-tool/ast-tool,recovery / error-handling overhead,ast-tool:find src/greeter.h greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
historical-noskill,smoke-001,direct-ast,4,find,src/greeter.h greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find src/greeter.h greet 2>&1; echo ""exit: $?""",True,4.39,7,,1 AST node line(s); exit: 1,context-fetch overhead,ast-tool:find --help 2>&1,E,context-fetch overhead,reasonable per-file implementation lookup before source retrieval
historical-noskill,smoke-001,direct-ast,5,find,--help 2>&1,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --help 2>&1",True,4.216,1936,,39 AST node line(s); NAME,recovery / error-handling overhead,ast-tool:find --text greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
historical-noskill,smoke-001,direct-ast,6,find,--text greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --text greet src/greeter.h 2>&1",True,4.237,243,,"4 AST node line(s); BE817B8 translation_unit @1:1 ""#pragma once #include <string>  void gre...""",context-fetch overhead,ast-tool:references src/greeter.h,E,context-fetch overhead,reasonable per-file implementation lookup before source retrieval
historical-noskill,smoke-001,direct-ast,7,references,src/greeter.h,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references src/greeter.h 4 2>&1",False,4.323,69,,error: workspace at '4' is empty or could not be analyzed,recovery / error-handling overhead,ast-tool:references --help,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
historical-noskill,smoke-001,direct-ast,8,references,--help,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references --help 2>&1",True,4.323,2076,,40 relationship result line(s); NAME,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
historical-noskill,smoke-001,direct-ast,9,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet . 2>&1",True,4.278,38,,2 relationship result line(s); .\src\main.cpp:4:5,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r1,level2-006,semantic,1,search,--name validate,"ast-tool search --name validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway""",True,11.675,117,declaration-only,1 symbol result(s); Method gw::Token::validate D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\token\token.h:9:5,identity / resolution overhead,"ast-tool:callers ""gw::Token::validate""",B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r1,level2-006,semantic,2,callers,"""gw::Token::validate""","ast-tool callers ""gw::Token::validate"" ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway""",True,4.555,565,,4 relationship result line(s); handlers::ApiHandler::handle D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\handlers\api_handler.cpp:15:17,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r1,level2-008,semantic,1,callers,AuthToken::expire,"ast-tool callers AuthToken::expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",False,11.471,141,,error: symbol not found: AuthToken::expire,recovery / error-handling overhead,ast-tool:search --name expire,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r1,level2-008,semantic,2,search,--name expire,"ast-tool search --name expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.697,123,declaration-only,1 symbol result(s); Method auth::AuthToken::expire D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_token.h:10:5,identity / resolution overhead,ast-tool:callers auth::AuthToken::expire,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r1,level2-008,semantic,3,callers,auth::AuthToken::expire,"ast-tool callers auth::AuthToken::expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.614,259,,2 relationship result line(s); auth::AuthService::refresh D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.cpp:18:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r1,level3-008,semantic,1,search,"--name ""audit""","ast-tool search --name ""audit"" ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline"" 2>&1 | head -40",True,11.187,346,declaration-and-definition,3 symbol result(s); Namespace audit D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src\audit\audit_logger.cpp:5:1,necessary semantic query,Bash,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r1,level3-008,semantic,2,search,--kind function,"ast-tool search --kind function ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src"" 2>&1",True,5.031,3095,definition-only,24 symbol result(s); Function audit::AuditLogger::log D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src\audit\audit_logger.cpp:7:1,identity / resolution overhead,ast-tool:callers store::DataStore::save,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r1,level3-008,semantic,3,callers,store::DataStore::save,"ast-tool callers store::DataStore::save ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src"" 2>&1",True,4.674,118,,1 relationship result line(s); job::SyncJob::execute D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src\job\sync_job.cpp:24:12,necessary semantic query,ast-tool:callers store::DataStore::purge,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r1,level3-008,semantic,4,callers,store::DataStore::purge,"ast-tool callers store::DataStore::purge ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src"" 2>&1",True,9.275,124,,1 relationship result line(s); job::CleanupJob::execute D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src\job\cleanup_job.cpp:13:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r1,smoke-001,direct-ast,1,find,src/greeter.h greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find src/greeter.h greet",False,10.937,78,,error: could not parse file,recovery / error-handling overhead,ast-tool:top_level,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r1,smoke-001,direct-ast,2,top_level,,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool --help 2>&1 | head -40",True,4.664,1135,,ast-tool — Source code inspection and semantic analysis.,recovery / error-handling overhead,ast-tool:find --help 2>&1,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r1,smoke-001,direct-ast,3,find,--help 2>&1,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --help 2>&1",True,4.539,1936,,39 AST node line(s); NAME,recovery / error-handling overhead,ast-tool:find --text greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r1,smoke-001,direct-ast,4,find,--text greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --text greet src/greeter.h",True,4.572,243,,"4 AST node line(s); BE817B8 translation_unit @1:1 ""#pragma once #include <string>  void gre...""",context-fetch overhead,ast-tool:references src/greeter.h,E,context-fetch overhead,reasonable per-file implementation lookup before source retrieval
phase7e-r1,smoke-001,direct-ast,5,references,src/greeter.h,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references src/greeter.h 4",False,4.584,107,,error: workspace at '4' is empty or could not be analyzed,recovery / error-handling overhead,ast-tool:references --help,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r1,smoke-001,direct-ast,6,references,--help,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references --help 2>&1",True,4.643,2076,,40 relationship result line(s); NAME,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r1,smoke-001,direct-ast,7,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet src/",False,4.619,168,,error: ambiguous symbol: greet,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r1,smoke-001,direct-ast,8,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet src/ 2>&1; cat src/greeter.h; echo ""---""; cat src/main.cpp",False,5.024,319,,error: ambiguous symbol: greet,recovery / error-handling overhead,"ast-tool:references ""greet""",F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r1,smoke-001,direct-ast,9,references,"""greet""","cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references ""greet"" . 2>&1 || true",False,4.862,160,,error: ambiguous symbol: greet,recovery / error-handling overhead,Bash,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,level2-006,semantic,1,search,--name validate,"ast-tool search --name validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway""",True,10.733,117,declaration-only,1 symbol result(s); Method gw::Token::validate D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\token\token.h:9:5,identity / resolution overhead,ast-tool:callers gw::Token::validate,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r2,level2-006,semantic,2,callers,gw::Token::validate,"ast-tool callers gw::Token::validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway""",True,4.547,565,,4 relationship result line(s); handlers::ApiHandler::handle D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\handlers\api_handler.cpp:15:17,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r2,level2-008,semantic,1,search,--name expire,"ast-tool search --name expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,11.083,123,declaration-only,1 symbol result(s); Method auth::AuthToken::expire D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_token.h:10:5,identity / resolution overhead,ast-tool:callers auth::AuthToken::expire,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r2,level2-008,semantic,2,callers,auth::AuthToken::expire,"ast-tool callers auth::AuthToken::expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.137,259,,2 relationship result line(s); auth::AuthService::refresh D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.cpp:18:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r2,level3-007,semantic,1,search,--name checkout,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name checkout . 2>&1 | head -30",True,9.985,31,no-role-evidence,1 symbol result(s); (Bash completed with no output),identity / resolution overhead,ast-tool:search --name process,B,identity / resolution overhead,unproductive identity probe; it returned no symbol information
